files	1024		4096		16384
1	0.211783	0.077320	0.048120
2	0.214290	0.080882	0.049755
4	9.423701	9.105014	1.996882
8	11.315957	10.991903	3.694221
16	11.201126	0.088839	0.054831
32	6.082929	4.833985	1.345019
random	0.557162	0.528545	0.455504	

