files	1024		4096		16384
1          44.858  44.847  44.863 
2          44.978  44.929  44.995 
4          44.929  44.926  44.975 
8          44.950  44.958  45.018 
16         44.964  44.962  44.973 
32         44.906  44.911  45.061 

