files	1024		4096		16384
1           16.234150    3.767864   3.344575 
2           20.408997   18.982415   0.663746 
4           37.190572   24.239117   4.832422 
8           37.350119   23.450713   8.085149 
16          37.177314   22.697717   7.437184 
32          36.742863   20.060136   6.026335 
random   16.653403    6.609872   8.190838 

